"date","contributor_type","contributor_names","contributor_severity_pct","contributor_severity_label"
"2015-01-05","Trees","JUNIPER, UNIDENT TREE","3.3333333333332997","L=0-14"
"2015-01-05","Grass","","0.0","L=0-4"
"2015-01-05","Weeds","","0.0","L=0-9"
"2015-01-06","Trees","","0.0","L=0-14"
"2015-01-06","Grass","","0.0","L=0-4"
"2015-01-06","Weeds","","0.0","L=0-9"
"2015-01-07","Trees","JUNIPER, PINE","1.6666666666667","L=0-14"
"2015-01-07","Grass","","0.0","L=0-4"
"2015-01-07","Weeds","","0.0","L=0-9"
"2015-01-08","Trees","JUNIPER, UNIDENT TREE","1.6666666666667","L=0-14"
"2015-01-08","Grass","","0.0","L=0-4"
"2015-01-08","Weeds","","0.0","L=0-9"
"2015-01-09","Trees","","0.0","L=0-14"
"2015-01-09","Grass","","0.0","L=0-4"
"2015-01-09","Weeds","","0.0","L=0-9"
"2015-01-12","Trees","JUNIPER","1.6666666666667","L=0-14"
"2015-01-12","Grass","","0.0","L=0-4"
"2015-01-12","Weeds","","0.0","L=0-9"
"2015-01-13","Trees","","0.0","L=0-14"
"2015-01-13","Grass","","0.0","L=0-4"
"2015-01-13","Weeds","","0.0","L=0-9"
"2015-01-14","Trees","","0.0","L=0-14"
"2015-01-14","Grass","","0.0","L=0-4"
"2015-01-14","Weeds","","0.0","L=0-9"
"2015-01-15","Trees","","0.0","L=0-14"
"2015-01-15","Grass","","0.0","L=0-4"
"2015-01-15","Weeds","RAGWEED, UNIDENT WEED","2.5","L=0-9"
"2015-01-16","Trees","JUNIPER","1.6666666666667","L=0-14"
"2015-01-16","Grass","Grass","5.0","L=0-4"
"2015-01-16","Weeds","","0.0","L=0-9"
"2015-01-19","Trees","JUNIPER, UNIDENT TREE","11.666666666666998","L=0-14"
"2015-01-19","Grass","","0.0","L=0-4"
"2015-01-19","Weeds","","0.0","L=0-9"
"2015-01-20","Trees","JUNIPER","15.0","L=0-14"
"2015-01-20","Grass","","0.0","L=0-4"
"2015-01-20","Weeds","","0.0","L=0-9"
"2015-01-21","Trees","JUNIPER, UNIDENT TREE, ALDER","15.0","L=0-14"
"2015-01-21","Grass","","0.0","L=0-4"
"2015-01-21","Weeds","RAGWEED","2.5","L=0-9"
"2015-01-22","Trees","JUNIPER, PINE","5.0","L=0-14"
"2015-01-22","Grass","","0.0","L=0-4"
"2015-01-22","Weeds","","0.0","L=0-9"
"2015-01-23","Trees","JUNIPER","1.6666666666667","L=0-14"
"2015-01-23","Grass","Grass","5.0","L=0-4"
"2015-01-23","Weeds","","0.0","L=0-9"
"2015-01-26","Trees","ALDER","3.3333333333332997","L=0-14"
"2015-01-26","Grass","Grass","5.0","L=0-4"
"2015-01-26","Weeds","","0.0","L=0-9"
"2015-01-27","Trees","JUNIPER","8.3333333333333","L=0-14"
"2015-01-27","Grass","","0.0","L=0-4"
"2015-01-27","Weeds","","0.0","L=0-9"
"2015-01-28","Trees","JUNIPER, UNIDENT TREE","3.3333333333332997","L=0-14"
"2015-01-28","Grass","","0.0","L=0-4"
"2015-01-28","Weeds","","0.0","L=0-9"
"2015-01-29","Trees","ALDER, UNIDENT TREE","1.6666666666667","L=0-14"
"2015-01-29","Grass","","0.0","L=0-4"
"2015-01-29","Weeds","","0.0","L=0-9"
"2015-01-30","Trees","ALDER, JUNIPER, ELM, MAPLE, MULBERRY","20.0","L=0-14"
"2015-01-30","Grass","","0.0","L=0-4"
"2015-01-30","Weeds","","0.0","L=0-9"
"2015-02-02","Trees","JUNIPER","1.6666666666667","L=0-14"
"2015-02-02","Grass","","0.0","L=0-4"
"2015-02-02","Weeds","UNIDENT WEED","2.5","L=0-9"
"2015-02-03","Trees","UNIDENT TREE, MAPLE, JUNIPER","8.3333333333333","L=0-14"
"2015-02-03","Grass","","0.0","L=0-4"
"2015-02-03","Weeds","RAGWEED","2.5","L=0-9"
"2015-02-04","Trees","JUNIPER, UNIDENT TREE","3.3333333333332997","L=0-14"
"2015-02-04","Grass","","0.0","L=0-4"
"2015-02-04","Weeds","","0.0","L=0-9"
"2015-02-05","Trees","ALDER, UNIDENT TREE","1.6666666666667","L=0-14"
"2015-02-05","Grass","","0.0","L=0-4"
"2015-02-05","Weeds","","0.0","L=0-9"
"2015-02-06","Trees","JUNIPER, MAPLE","1.6666666666667","L=0-14"
