date,pollen_count
2018-01-02,6
2018-01-03,6
2018-01-04,1
2018-01-05,2
2018-01-08,0
2018-01-09,1
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-15,1
2018-01-16,0
2018-01-18,2
2018-01-19,1
2018-01-22,3
2018-01-23,16
2018-01-24,16
2018-01-25,4
2018-01-26,0
2018-01-29,0
2018-01-30,9
2018-01-31,2
2018-02-01,7
2018-02-02,15
2018-02-05,1
2018-02-06,6
2018-02-07,42
2018-02-08,3
2018-02-09,8
2018-02-12,1
2018-02-13,167
2018-02-14,134
2018-02-15,17
2018-02-16,351
2018-02-19,20
2018-02-20,50
2018-02-21,148
2018-02-22,109
2018-02-23,142
2018-02-26,10
2018-02-27,36
2018-02-28,577
2018-03-01,56
2018-03-02,50
2018-03-05,10
2018-03-06,81
2018-03-07,111
2018-03-08,24
2018-03-09,14
2018-03-12,5
2018-03-13,74
2018-03-14,25
2018-03-15,23
2018-03-16,361
2018-03-19,438
2018-03-20,13
2018-03-21,574
2018-03-22,794
2018-03-23,430
2018-03-24,826
2018-03-25,2325
2018-03-26,1308
2018-03-27,801
2018-03-28,110
2018-03-29,1573
2018-03-30,2928
2018-03-31,3387
2018-04-01,1264
2018-04-02,1217
2018-04-03,993
2018-04-04,4667
2018-04-05,1254
2018-04-06,1495
2018-04-07,3429
2018-04-08,798
2018-04-09,722
2018-04-10,328
2018-04-11,5098
2018-04-12,5354
2018-04-13,4208
2018-04-14,3217
2018-04-15,2416
2018-04-16,1437
2018-04-17,1000
2018-04-18,1648
2018-04-19,3343
2018-04-20,2261
2018-04-21,390
2018-04-22,681
2018-04-23,30
2018-04-24,24
2018-04-25,265
2018-04-26,631
2018-04-27,74
2018-04-28,547
2018-04-29,437
2018-04-30,625
2018-05-01,103
2018-05-02,88
2018-05-03,108
2018-05-04,134
2018-05-07,668
2018-05-08,401
2018-05-09,104
2018-05-10,140
2018-05-11,242
2018-05-14,108
2018-05-15,124
2018-05-16,41
2018-05-17,14
2018-05-18,4
2018-05-21,46
2018-05-22,14
2018-05-23,10
2018-05-24,24
2018-05-25,19
2018-05-29,10
2018-05-30,19
2018-05-31,15
2018-06-01,14
2018-06-04,37
2018-06-05,35
2018-06-06,32
2018-06-07,20
2018-06-08,29
2018-06-11,31
2018-06-12,32
2018-06-13,31
2018-06-14,6
2018-06-15,20
2018-06-18,21
2018-06-19,13
2018-06-20,18
2018-06-21,12
2018-06-22,13
2018-06-25,30
2018-06-26,9
2018-06-27,10
2018-06-28,32
2018-06-29,7
2018-07-02,10
2018-07-03,4
2018-07-05,25
2018-07-06,3
2018-07-09,20
2018-07-10,6
2018-07-11,10
2018-07-12,12
2018-07-13,9
2018-07-16,11
2018-07-17,9
2018-07-18,10
2018-07-19,11
2018-07-20,7
2018-07-23,9
2018-07-24,5
2018-07-25,5
2018-07-26,6
2018-07-27,13
2018-07-30,8
2018-07-31,5
2018-08-01,5
2018-08-02,0
2018-08-03,6
2018-08-06,8
2018-08-07,7
2018-08-08,10
2018-08-09,8
2018-08-10,16
2018-08-13,17
2018-08-14,13
2018-08-15,8
2018-08-16,16
2018-08-17,12
2018-08-20,12
2018-08-21,6
2018-08-22,12
2018-08-23,22
2018-08-24,17
2018-08-27,10
2018-08-28,3
2018-08-29,18
2018-08-30,51
2018-08-31,126
2018-09-04,26
2018-09-05,24
2018-09-06,17
2018-09-07,20
2018-09-10,20
2018-09-11,17
2018-09-12,18
2018-09-13,19
2018-09-14,17
2018-09-17,15
2018-09-18,35
2018-09-19,26
2018-09-20,32
2018-09-21,17
2018-09-24,44
2018-09-25,12
2018-09-26,11
2018-09-27,6
2018-09-28,6
2018-10-01,14
2018-10-02,43
2018-10-03,25
2018-10-04,86
2018-10-05,64
2018-10-08,10
2018-10-09,24
2018-10-10,17
2018-10-11,6
2018-10-12,15
2018-10-15,22
2018-10-16,10
2018-10-17,2
2018-10-18,3
2018-10-19,9
2018-10-22,6
2018-10-23,5
2018-10-24,5
2018-10-25,11
2018-10-26,9
2018-10-29,11
2018-10-30,3
2018-10-31,5
2018-11-01,6
2018-11-02,2
2018-11-05,7
2018-11-06,0
2018-11-07,2
2018-11-08,2
2018-11-09,7
2018-11-12,2
2018-11-13,1
2018-11-14,0
2018-11-15,1
2018-11-16,0
2018-11-19,2
2018-11-20,2
2018-11-21,1
2018-11-26,3
2018-11-27,6
2018-11-28,3
2018-11-29,4
2018-11-30,2
2018-12-03,10
2018-12-04,4
2018-12-05,2
2018-12-06,4
2018-12-07,2
2018-12-10,2
2018-12-11,6
2018-12-12,2
2018-12-13,2
2018-12-14,2
2018-12-17,1
2018-12-18,0
2018-12-19,1
2018-12-20,1
2018-12-21,0
2018-12-26,11
2018-12-27,1
2018-12-28,2
2018-12-31,2
